nconst,primaryName
nm0104226,Robert Bramkamp
nm0104335,John Brancato
nm0104476,Jo Brand
nm0104526,Steven Brand
nm0104589,Laurent Brandenbourger
nm0104973,Michael Brandt
nm0105169,Ash Brannon
nm0105755,Felipe Braun
nm0105794,Josh Braun
nm0106455,Berkeley Breathed
nm0106563,Andy Breckman
nm0106924,Catherine Breillat
nm0107251,Artie Brennan
nm0107366,Neal Brennan
nm0107531,Philippe Brenninkmeyer
nm0107696,Gunilla Bresky
nm0108284,Joe Brewster
nm0108447,Manon Briand
nm0109626,Bo Brinkman
nm0109717,Thomas Brinx
nm0109730,Yann Brion
nm0110292,Fausto Brizzi
nm0110300,Stéphane Brizé
nm0111197,Stefan Brogren
nm0111369,Jacek Bromski
nm0111588,Konstantin Bronzit
nm0111656,Peter Brook
nm0111793,Gareth Brookes
nm0112253,Stanley M. Brooks
nm0112374,Nick Broomfield
nm0112459,Aline Brosh McKenna
nm0112647,Brian Brough
nm0112724,Isabelle Brouillette
nm0114226,Matt Brown
nm0114351,Nicolas Brown
nm0114430,Peter Vack
nm0114687,Spencer Brown
nm0115979,John Brumpton
nm0116040,Natja Brunckhorst
nm0116254,Valeria Bruni Tedeschi
nm0116263,Francesco Bruni
nm0116511,Massimiliano Bruno
nm0116623,Dominic Brunt
nm0117486,Jan Brzechwa
nm0117556,Hallvard Bræin
nm0117572,Guillaume Bréaud
nm0117600,Thomas Brémond
nm0117616,Anabela Brígida
nm0117865,Brian Buccellato
nm0117879,Giovanni Bucchieri
nm0118333,Chris Buck
nm0118959,Colin Budds
nm0119126,Urs Buehler
nm0119518,Lia Bugnar
nm0119613,Timothy Linh Bui
nm0119653,José Buil
nm0119793,Marek Bukowski
nm0119888,Mikhail A. Bulgakov
nm0120273,Kir Bulychyov
nm0120987,Ray Burdis
nm0121203,Janez Burger
nm0121210,Joerg Burger
nm0121413,Danielle Burgio
nm0121810,Mildred Burke
nm0121997,Julie Herlocker
nm0122184,Daniel Burman
nm0122195,Mark Burman
nm0122335,Allison Burnett
nm0122560,Allan Burns
nm0122653,Edward Burns
nm0122987,Bill Burr
nm0123009,Jeff Burr
nm0123221,William S. Burroughs
nm0123379,Nanette Burstein
nm0123666,Mark Burton
nm0124244,Jeffrey Bushell
nm0124834,William Butler
nm0124991,Joshua Butler
nm0125336,Jez Butterworth
nm0125524,Jason Buxton
nm0125540,Margherita Buy
nm0125632,Rita Buzzar
nm0125635,Dino Buzzati
nm0125803,Bobby Farrelly
nm0125887,Bob Byington
nm0126921,Catherine Bérubé
nm0126996,Florian Mischa Böder
nm0127402,Antonio R. Cabal
nm0127562,Stéphane Cabel
nm0127804,Dominique Cabrera
nm0128301,Iolande Cadrin-Rossignol
nm0128464,Eliane Caffé
nm0128529,Diego Cagide
nm0128540,Kenya Cagle
nm0128937,Michael Cain
nm0129098,Yule Caise
nm0129841,Chad Calek
nm0129919,Jeff Calhoun
nm0130691,Mimmo Calopresti
nm0130714,Daniel Calparsoro
nm0130991,Salvador Calvo
nm0131033,Jerry Calà
nm0131064,Art Camacho
nm0132414,Doug Campbell
nm0132485,Glenn Campbell
nm0132709,Martin Campbell
nm0132884,Ted Campbell
nm0133028,Robin Campillo
nm0133075,Giacomo Campiotti
nm0133763,Takis Candilis
nm0133770,Grady Candler
nm0133899,Guillaume Canet
nm0133981,João Canijo
nm0134503,Saara Cantell
nm0134881,Xueqin Cao
nm0134944,Wayne Caparas
nm0135015,Karel Capek
nm0135066,Robert Capelli Jr.
nm0135141,Frank A. Cappello
nm0135296,Jim Capobianco
nm0135576,Eugenio Cappuccio
nm0136012,Tyke Caravelli
nm0136572,Manolo Cardona
nm0136610,Rui Cardoso Martins
nm0136611,José Cardoso Pires
nm0136673,Margarida Cardoso
nm0137134,Carlos Caridad-Montero
nm0137234,Rosemberg Cariry
nm0138188,Emily Carlton
nm0138326,James Carman
nm0138455,Rik Carmichael
nm0138609,Ted Nicolaou
nm0138759,Marcos Carnevale
nm0138809,John Carney
nm0138927,Niki Caro
nm0139081,Benjamin Caron
nm0139455,Shari L. Carpenter
nm0139605,Neal Marshall Stevens
nm0139743,Jimmy Carr
nm0139905,Joan Carr-Wiggin
nm0140196,Carlos Carrera
nm0140639,Christophe Carrière
nm0140643,Jean-Claude Carrière
nm0140902,Lewis Carroll
nm0141127,Emmanuel Carrère
nm0141448,Alan Carter
nm0141755,Ken Carter
nm0142286,D.J. Caruso
nm0142300,Frank A. Caruso
nm0142362,Marcus Carothers
nm0142461,Luiz Fernando Carvalho
nm0142477,Mônica Carvalho
nm0142810,Gerald Casale
nm0143006,Nicolás Casariego
nm0143404,Darren Casey
nm0144509,Patricia Castañeda
